,Team,2013 Def Tot Pts,2013 Def Pts/G,2013 Def RushYds,2013 Def RYds/G,2013 Def PassYds,2013 Def PYds/G,2013 Def TotYds,2013 Def Yds/G
5,Arizona CardinalsArizona,324,20.2,1351,84.4,3728,233.0,5079,317.4
26,Atlanta FalconsAtlanta,443,27.7,2173,135.8,3897,243.6,6070,379.4
11,Baltimore RavensBaltimore,352,22.0,1687,105.4,3681,230.1,5368,335.5
9,Buffalo BillsBuffalo,388,24.2,2063,128.9,3271,204.4,5334,333.4
1,Carolina PanthersCarolina,241,15.1,1391,86.9,3429,214.3,4820,301.2
29,Chicago BearsChicago,478,29.9,2583,161.4,3730,233.1,6313,394.6
2,Cincinnati BengalsCincinnati,305,19.1,1544,96.5,3344,209.0,4888,305.5
8,Cleveland BrownsCleveland,406,25.4,1781,111.3,3538,221.1,5319,332.4
31,Dallas CowboysDallas,432,27.0,2056,128.5,4589,286.8,6645,415.3
18,Denver BroncosDenver,399,24.9,1626,101.6,4070,254.4,5696,356.0
15,Detroit LionsDetroit,376,23.5,1596,99.8,3950,246.9,5546,346.6
24,Green Bay PackersGreen Bay,428,26.8,2000,125.0,3956,247.2,5956,372.2
6,Houston TexansHouston,428,26.8,1958,122.4,3123,195.2,5081,317.6
19,Indianapolis ColtsIndianapolis,336,21.0,2002,125.1,3711,231.9,5713,357.1
27,Jacksonville JaguarsJacksonville,449,28.1,2108,131.8,3962,247.6,6070,379.4
23,Kansas City ChiefsKansas City,305,19.1,1923,120.2,3962,247.6,5885,367.8
20,Miami DolphinsMiami,335,20.9,1998,124.9,3752,234.5,5750,359.4
30,Minnesota VikingsMinnesota,480,30.0,1767,110.4,4595,287.2,6362,397.6
25,New England PatriotsNew England,338,21.1,2145,134.1,3824,239.0,5969,373.1
3,New Orleans SaintsNew Orleans,304,19.0,1786,111.6,3105,194.1,4891,305.7
7,New York GiantsNY Giants,383,23.9,1743,108.9,3573,223.3,5316,332.2
10,New York JetsNY Jets,387,24.2,1412,88.2,3947,246.7,5359,334.9
21,Oakland RaidersOakland,453,28.3,1727,107.9,4092,255.8,5819,363.7
28,Philadelphia EaglesPhiladelphia,382,23.9,1668,104.2,4636,289.8,6304,394.0
12,Pittsburgh SteelersPittsburgh,370,23.1,1849,115.6,3553,222.1,5402,337.6
22,San Diego ChargersSan Diego,348,21.8,1725,107.8,4139,258.7,5864,366.5
4,San Francisco 49ersSan Francisco,272,17.0,1535,95.9,3536,221.0,5071,316.9
0,Seattle SeahawksSeattle,231,14.4,1626,101.6,2752,172.0,4378,273.6
14,St. Louis RamsSt. Louis,364,22.8,1646,102.9,3874,242.1,5520,345.0
16,Tampa Bay BuccaneersTampa Bay,389,24.3,1762,110.1,3806,237.9,5568,348.0
13,Tennessee TitansTennessee,381,23.8,1795,112.2,3612,225.8,5407,337.9
17,Washington RedskinsWashington,478,29.9,1769,110.6,3896,243.5,5665,354.1
