,Team,2015 Off Tot Pts,2015 Off Pts/G,2015 Off RushYds,2015 Off RYds/G,2015 Off PassYds,2015 Off PYds/G,2015 Off TotYds,2015 Off Yds/G
0,Arizona CardinalsArizona,489,30.6,1917,119.8,4616,288.5,6533,408.3
6,Atlanta FalconsAtlanta,339,21.2,1606,100.4,4379,273.7,5985,374.1
13,Baltimore RavensBaltimore,328,20.5,1478,92.4,4271,266.9,5749,359.3
12,Buffalo BillsBuffalo,379,23.7,2432,152.0,3343,208.9,5775,360.9
10,Carolina PanthersCarolina,500,31.2,2282,142.6,3589,224.3,5871,366.9
20,Chicago BearsChicago,335,20.9,1854,115.9,3660,228.8,5514,344.6
14,Cincinnati BengalsCincinnati,419,26.2,1805,112.8,3923,245.2,5728,358.0
24,Cleveland BrownsCleveland,278,17.4,1529,95.6,3782,236.4,5311,331.9
21,Dallas CowboysDallas,275,17.2,1890,118.1,3471,216.9,5361,335.1
15,Denver BroncosDenver,355,22.2,1718,107.4,3970,248.1,5688,355.5
19,Detroit LionsDetroit,358,22.4,1335,83.4,4212,263.2,5547,346.7
22,Green Bay PackersGreen Bay,368,23.0,1850,115.6,3503,218.9,5353,334.6
18,Houston TexansHouston,339,21.2,1731,108.2,3833,239.6,5564,347.8
27,Indianapolis ColtsIndianapolis,333,20.8,1438,89.9,3704,231.5,5142,321.4
17,Jacksonville JaguarsJacksonville,376,23.5,1473,92.1,4108,256.8,5581,348.8
26,Kansas City ChiefsKansas City,405,25.3,2044,127.8,3255,203.4,5299,331.2
25,Miami DolphinsMiami,310,19.4,1496,93.5,3811,238.2,5307,331.7
28,Minnesota VikingsMinnesota,365,22.8,2211,138.2,2928,183.0,5139,321.2
5,New England PatriotsNew England,465,29.1,1404,87.8,4587,286.7,5991,374.4
1,New Orleans SaintsNew Orleans,408,25.5,1491,93.2,4970,310.6,6461,403.8
7,New York GiantsNY Giants,420,26.2,1609,100.6,4343,271.4,5952,372.0
9,New York JetsNY Jets,387,24.2,1868,116.8,4057,253.6,5925,370.3
23,Oakland RaidersOakland,359,22.4,1457,91.1,3879,242.4,5336,333.5
11,Philadelphia EaglesPhiladelphia,377,23.6,1743,108.9,4087,255.4,5830,364.4
2,Pittsburgh SteelersPittsburgh,423,26.4,1724,107.8,4603,287.7,6327,395.4
8,San Diego ChargersSan Diego,320,20.0,1358,84.9,4591,286.9,5949,371.8
30,San Francisco 49ersSan Francisco,238,14.9,1544,96.5,3316,207.2,4860,303.8
3,Seattle SeahawksSeattle,423,26.4,2268,141.8,3790,236.9,6058,378.6
31,St. Louis RamsSt. Louis,280,17.5,1956,122.2,2805,175.3,4761,297.6
4,Tampa Bay BuccaneersTampa Bay,342,21.4,2162,135.1,3852,240.8,6014,375.9
29,Tennessee TitansTennessee,299,18.7,1485,92.8,3503,218.9,4988,311.8
16,Washington RedskinsWashington,388,24.2,1566,97.9,4095,255.9,5661,353.8
