,Team,2022 Def Tot/Pts,2022 Def Pts/G,2022 Def RushYds,2022 Def RYds/G,2022 Def PassYds,2022 Def PYds/G,2022 Def TotYds,2022 Def Yds/G
20,Arizona CardinalsArizona,449,26.4,2016,118.6,3915,230.3,5931,348.9
26,Atlanta FalconsAtlanta,386,22.7,2214,130.2,3942,231.9,6156,362.1
8,Baltimore RavensBaltimore,315,18.5,1566,92.1,3947,232.2,5513,324.3
5,Buffalo BillsBuffalo,286,17.9,1673,104.6,3433,214.6,5106,319.1
21,Carolina PanthersCarolina,374,22.0,2085,122.6,3868,227.5,5953,350.2
28,Chicago BearsChicago,463,27.2,2674,157.3,3716,218.6,6390,375.9
15,Cincinnati BengalsCincinnati,322,20.1,1706,106.6,3665,229.1,5371,335.7
13,Cleveland BrownsCleveland,381,22.4,2295,135.0,3336,196.2,5631,331.2
11,Dallas CowboysDallas,342,20.1,2198,129.3,3415,200.9,5613,330.2
6,Denver BroncosDenver,359,21.1,1866,109.8,3574,210.2,5440,320.0
31,Detroit LionsDetroit,427,25.1,2491,146.5,4179,245.8,6670,392.4
16,Green Bay PackersGreen Bay,371,21.8,2372,139.5,3349,197.0,5721,336.5
29,Houston TexansHouston,420,24.7,2894,170.2,3558,209.3,6452,379.5
14,Indianapolis ColtsIndianapolis,427,25.1,2109,124.1,3569,209.9,5678,334.0
23,Jacksonville JaguarsJacksonville,350,20.6,1951,114.8,4055,238.5,6006,353.3
10,Kansas City ChiefsKansas City,369,21.7,1823,107.2,3756,220.9,5579,328.2
27,Las Vegas RaidersLas Vegas,418,24.6,2087,122.8,4129,242.9,6216,365.6
19,Los Angeles ChargersLA Chargers,384,22.6,2478,145.8,3406,200.4,5884,346.1
18,Los Angeles RamsLA Rams,384,22.6,1956,115.1,3842,226.0,5798,341.1
17,Miami DolphinsMiami,399,23.5,1751,103.0,3992,234.8,5743,337.8
30,Minnesota VikingsMinnesota,427,25.1,2093,123.1,4515,265.6,6608,388.7
7,New England PatriotsNew England,347,20.4,1793,105.5,3681,216.5,5474,322.0
4,New Orleans SaintsNew Orleans,345,20.3,2218,130.5,3134,184.4,5352,314.8
24,New York GiantsNY Giants,371,21.8,2451,144.2,3638,214.0,6089,358.2
3,New York JetsNY Jets,316,18.6,2068,121.6,3220,189.4,5288,311.1
1,Philadelphia EaglesPhiladelphia,344,20.2,2068,121.6,3057,179.8,5125,301.5
12,Pittsburgh SteelersPittsburgh,346,20.4,1838,108.1,3779,222.3,5617,330.4
0,San Francisco 49ersSan Francisco,277,16.3,1321,77.7,3789,222.9,5110,300.6
25,Seattle SeahawksSeattle,401,23.6,2554,150.2,3595,211.5,6149,361.7
9,Tampa Bay BuccaneersTampa Bay,358,21.1,2052,120.7,3461,203.6,5513,324.3
22,Tennessee TitansTennessee,359,21.1,1307,76.9,4671,274.8,5978,351.6
2,Washington CommandersWashington,343,20.2,1926,113.3,3252,191.3,5178,304.6
