,Team,Tot/Pts,2021 Off Pts/G,2021 Off RushYds,2021 Off RYds/G,2021 Off PassYds,2021 Off PYds/G,2021 Off TotYds,2021 Off Yds/G
7,Arizona CardinalsArizona,449,26.4,2076,122.1,4276,251.5,6352,373.6
28,Atlanta FalconsAtlanta,313,18.4,1451,85.4,3713,218.4,5164,303.8
5,Baltimore RavensBaltimore,387,22.8,2479,145.8,3961,233,6440,378.8
4,Buffalo BillsBuffalo,483,28.4,2209,129.9,4284,252,6493,381.9
29,Carolina PanthersCarolina,304,17.9,1842,108.4,3239,190.5,5081,298.9
23,Chicago BearsChicago,311,18.3,2018,118.7,3207,188.6,5225,307.4
12,Cincinnati BengalsCincinnati,460,27.1,1742,102.5,4403,259,6145,361.5
17,Cleveland BrownsCleveland,349,20.5,2471,145.4,3320,195.3,5791,340.6
0,Dallas CowboysDallas,530,31.2,2119,124.6,4800,282.4,6919,407
18,Denver BroncosDenver,335,19.7,2025,119.1,3593,211.4,5618,330.5
21,Detroit LionsDetroit,325,19.1,1886,110.9,3598,211.6,5484,322.6
9,Green Bay PackersGreen Bay,450,26.5,1900,111.8,4315,253.8,6215,365.6
31,Houston TexansHouston,280,16.5,1422,83.6,3305,194.4,4727,278.1
15,Indianapolis ColtsIndianapolis,451,26.5,2540,149.4,3361,197.7,5901,347.1
26,Jacksonville JaguarsJacksonville,253,14.9,1755,103.2,3436,202.1,5191,305.4
2,Kansas City ChiefsKansas City,480,28.2,1955,115,4791,281.8,6746,396.8
10,Las Vegas RaidersLas Vegas,374,22,1617,95.1,4567,268.6,6184,363.8
3,Los Angeles ChargersLA Chargers,474,27.9,1834,107.9,4800,282.4,6634,390.2
8,Los Angeles RamsLA Rams,460,27.1,1683,99,4642,273.1,6325,372.1
24,Miami DolphinsMiami,341,20.1,1568,92.2,3651,214.8,5219,307
11,Minnesota VikingsMinnesota,425,25,1930,113.5,4238,249.3,6168,362.8
14,New England PatriotsNew England,462,27.2,2151,126.5,3857,226.9,6008,353.4
27,New Orleans SaintsNew Orleans,364,21.4,1991,117.1,3186,187.4,5177,304.5
30,New York GiantsNY Giants,258,15.2,1688,99.3,3196,188,4884,287.3
25,New York JetsNY Jets,310,18.2,1667,98.1,3541,208.3,5208,306.4
13,Philadelphia EaglesPhiladelphia,444,26.1,2715,159.7,3404,200.2,6119,359.9
22,Pittsburgh SteelersPittsburgh,343,20.2,1583,93.1,3778,222.2,5361,315.4
6,San Francisco 49ersSan Francisco,427,25.1,2166,127.4,4221,248.3,6387,375.7
19,Seattle SeahawksSeattle,395,23.2,2074,122,3432,201.9,5506,323.9
1,Tampa Bay BuccaneersTampa Bay,511,30.1,1672,98.4,5229,307.6,6901,405.9
16,Tennessee TitansTennessee,419,24.6,2404,141.4,3418,201.1,5822,342.5
20,Washington Football TeamWashington,335,19.7,2061,121.2,3441,202.4,5502,323.6
