,Team,2020 Def Tot/Pts,2020 Def Pts/G,2020 Def RushYds,2020 Def RYds/G,2020 Def PassYds,2020 Def PYds/G,2020 Def TotYds,2020 Def Yds/G
12,Arizona CardinalsArizona,367,22.9,2008,125.5,3623,226.4,5631,351.9
28,Atlanta FalconsAtlanta,414,25.9,1677,104.8,4697,293.6,6374,398.4
6,Baltimore RavensBaltimore,303,18.9,1740,108.8,3536,221.0,5276,329.8
13,Buffalo BillsBuffalo,375,23.4,1914,119.6,3726,232.9,5640,352.5
17,Carolina PanthersCarolina,402,25.1,1936,121.0,3825,239.1,5761,360.1
10,Chicago BearsChicago,370,23.1,1814,113.4,3705,231.6,5519,344.9
25,Cincinnati BengalsCincinnati,424,26.5,2368,148.0,3859,241.2,6227,389.2
16,Cleveland BrownsCleveland,419,26.2,1773,110.8,3962,247.6,5735,358.4
22,Dallas CowboysDallas,473,29.6,2541,158.8,3642,227.6,6183,386.4
20,Denver BroncosDenver,446,27.9,2080,130.0,3807,237.9,5887,367.9
31,Detroit LionsDetroit,519,32.4,2158,134.9,4558,284.9,6716,419.8
8,Green Bay PackersGreen Bay,369,23.1,1805,112.8,3539,221.2,5344,334.0
29,Houston TexansHouston,464,29.0,2564,160.2,4104,256.5,6668,416.8
7,Indianapolis ColtsIndianapolis,362,22.6,1448,90.5,3866,241.6,5314,332.1
30,Jacksonville JaguarsJacksonville,492,30.8,2452,153.2,4231,264.4,6683,417.7
15,Kansas City ChiefsKansas City,362,22.6,1954,122.1,3779,236.2,5733,358.3
24,Las Vegas RaidersLas Vegas,478,29.9,2013,125.8,4212,263.2,6225,389.1
9,Los Angeles ChargersLA Chargers,426,26.6,1917,119.8,3578,223.6,5495,343.4
0,Los Angeles RamsLA Rams,296,18.5,1460,91.2,3051,190.7,4511,281.9
19,Miami DolphinsMiami,338,21.1,1862,116.4,4024,251.5,5886,367.9
26,Minnesota VikingsMinnesota,475,29.7,2151,134.4,4141,258.8,6292,393.2
14,New England PatriotsNew England,353,22.1,2103,131.4,3557,222.3,5660,353.8
3,New Orleans SaintsNew Orleans,337,21.1,1502,93.9,3472,217.0,4974,310.9
11,New York GiantsNY Giants,357,22.3,1782,111.4,3807,237.9,5589,349.3
23,New York JetsNY Jets,457,28.6,1792,112.0,4409,275.6,6201,387.6
18,Philadelphia EaglesPhiladelphia,418,26.1,2012,125.8,3798,237.4,5810,363.1
2,Pittsburgh SteelersPittsburgh,312,19.5,1783,111.4,3110,194.4,4893,305.8
4,San Francisco 49ersSan Francisco,390,24.4,1703,106.4,3327,207.9,5030,314.4
21,Seattle SeahawksSeattle,371,23.2,1529,95.6,4560,285.0,6089,380.6
5,Tampa Bay BuccaneersTampa Bay,355,22.2,1289,80.6,3945,246.6,5234,327.1
27,Tennessee TitansTennessee,439,27.4,1933,120.8,4439,277.4,6372,398.2
1,Washington Football TeamWashington,329,20.6,1805,112.8,3068,191.8,4873,304.6
