,Team,2020 Off Tot Pts,2020 Off Pts/G,2020 Off RushYds,2020 Off RYds/G,2020 Off PassYds,2020 Off PYds/G,2020 Off TotYds,2020 Off Yds/G
5,Arizona CardinalsArizona,410,25.6,2237,139.8,3916,244.8,6153,384.6
17,Atlanta FalconsAtlanta,396,24.8,1532,95.8,4363,272.7,5895,368.4
18,Baltimore RavensBaltimore,468,29.2,3071,191.9,2739,171.2,5810,363.1
1,Buffalo BillsBuffalo,501,31.3,1723,107.7,4620,288.8,6343,396.4
20,Carolina PanthersCarolina,350,21.9,1704,106.5,3888,243.0,5592,349.5
25,Chicago BearsChicago,372,23.2,1647,102.9,3655,228.4,5302,331.4
28,Cincinnati BengalsCincinnati,311,19.4,1668,104.2,3448,215.5,5116,319.8
15,Cleveland BrownsCleveland,408,25.5,2374,148.4,3539,221.2,5913,369.6
13,Dallas CowboysDallas,395,24.7,1788,111.8,4161,260.1,5949,371.8
22,Denver BroncosDenver,323,20.2,1918,119.9,3451,215.7,5369,335.6
19,Detroit LionsDetroit,377,23.6,1499,93.7,4104,256.5,5603,350.2
4,Green Bay PackersGreen Bay,509,31.8,2118,132.4,4106,256.6,6224,389.0
12,Houston TexansHouston,384,24.0,1466,91.6,4538,283.6,6004,375.2
9,Indianapolis ColtsIndianapolis,451,28.2,1996,124.8,4053,253.3,6049,378.1
27,Jacksonville JaguarsJacksonville,306,19.1,1519,94.9,3699,231.2,5218,326.1
0,Kansas City ChiefsKansas City,473,29.6,1799,112.4,4854,303.4,6653,415.8
7,Las Vegas RaidersLas Vegas,434,27.1,1916,119.8,4217,263.6,6133,383.3
8,Los Angeles ChargersLA Chargers,384,24.0,1784,111.5,4329,270.6,6113,382.1
10,Los Angeles RamsLA Rams,372,23.2,2018,126.1,4014,250.9,6032,377.0
21,Miami DolphinsMiami,404,25.2,1688,105.5,3736,233.5,5424,339.0
3,Minnesota VikingsMinnesota,430,26.9,2283,142.7,4009,250.6,6292,393.2
26,New England PatriotsNew England,326,20.4,2346,146.6,2890,180.6,5236,327.2
11,New Orleans SaintsNew Orleans,482,30.1,2265,141.6,3758,234.9,6023,376.4
30,New York GiantsNY Giants,280,17.5,1768,110.5,3026,189.1,4794,299.6
31,New York JetsNY Jets,243,15.2,1683,105.2,2796,174.8,4479,279.9
23,Philadelphia EaglesPhiladelphia,334,20.9,2027,126.7,3327,207.9,5354,334.6
24,Pittsburgh SteelersPittsburgh,416,26.0,1351,84.4,4003,250.2,5354,334.6
14,San Francisco 49ersSan Francisco,376,23.5,1889,118.1,4033,252.1,5922,370.1
16,Seattle SeahawksSeattle,459,28.7,1971,123.2,3941,246.3,5912,369.5
6,Tampa Bay BuccaneersTampa Bay,492,30.8,1519,94.9,4626,289.1,6145,384.1
2,Tennessee TitansTennessee,491,30.7,2690,168.1,3653,228.3,6343,396.4
29,Washington Football TeamWashington,335,20.9,1611,100.7,3465,216.6,5076,317.2
